"15,17,43, residential, Huyện Đông Anh, Thành phố Hà Nội, Việt Nam",21.124,105.865
"249 La Thành, Đường La Thành, Thị xã Sơn Tây, Thành phố Hà Nội, Việt Nam",21.142,105.509
"88 La Thành (Sơn Tây), Đường La Thành, Thị xã Sơn Tây, Thành phố Hà Nội, Việt Nam",21.143,105.508
"Agribank Ngân hàng Nông nghiệp và Phát triển nông thôn chi nhánh Tản Lĩnh, Đường tỉnh 414, Ba Vì, Thành phố Hà Nội, Việt Nam",21.125,105.391
"Agribank, Phố Lê Lợi, Thị xã Sơn Tây, Thành phố Hà Nội, Việt Nam",21.146,105.505
"Bưu điện Tản Lĩnh, Đường tỉnh 414, Ba Vì, Thành phố Hà Nội, Việt Nam",21.125,105.392
"Bến xe Sơn Tây, Phố Chùa Thông, Thị xã Sơn Tây, Thành phố Hà Nội, Việt Nam",21.13,105.509
"CHXD Petrolimex, Quốc lộ 3, Huyện Đông Anh, Thành phố Hà Nội, Việt Nam",21.149,105.846
"Chuyên Hoàng, Đường tỉnh 414, Ba Vì, Thành phố Hà Nội, Việt Nam",21.12,105.381
"Chợ Nghệ, Phố Phạm Ngũ Lão, Thị xã Sơn Tây, Thành phố Hà Nội, Việt Nam",21.137,105.506
"Chợ Đa Hội, Lý Thường Kiệt, Song Tháp, Thành phố Từ Sơn, Thành phố Hà Nội, Tỉnh Bắc Ninh, 16300, Việt Nam",21.122,105.92
"Công an huyện Đông Anh, Quốc lộ 3, Huyện Đông Anh, Thành phố Hà Nội, Việt Nam",21.14,105.846
"Cầu Trì, Thị xã Sơn Tây, Thành phố Hà Nội, Việt Nam",21.131,105.5
"Cổng Khu công nghiệp Bắc Thăng Long, Quốc lộ 23, Huyện Đông Anh, Thành phố Hà Nội, 124115, Việt Nam",21.124,105.779
"Cổng làng Bồng Lai, Đường Thượng Cát, Huyện Đan Phượng, Thành phố Hà Nội, Việt Nam",21.13,105.693
"Cửa hàng sửa chữa ô tô xe máy Tam Uy, Đường tỉnh 414C, Ba Vì, Thành phố Hà Nội, Việt Nam",21.12,105.367
"Ghế Tuấn anh, Đường cao tốc Hà Nội - Thái Nguyên, Huyện Đông Anh, Thành phố Hà Nội, Yên Phong, Tỉnh Bắc Ninh, 16000, Việt Nam",21.148,105.907
"Gần cổng xóm Cả, Đường 417, Vân Nam, Huyện Đan Phượng, Thành phố Hà Nội, Việt Nam",21.14,105.627
"Gần cửa khẩu xã Cẩm Đình, ĐT.418, Xuân Đình, Phúc Thọ, Thành phố Hà Nội, Việt Nam",21.143,105.556
"GỐM SỨ ĐẤT VIỆT, Đường tỉnh 417, Vân Phúc, Phúc Thọ, Thành phố Hà Nội, 100000, Việt Nam",21.149,105.592
"Huyện Gia Lâm, Thành phố Hà Nội, 16000, Việt Nam",21.12,105.922
"Huyện Mê Linh, Thành phố Hà Nội, 12910, Việt Nam",21.148,105.732
"Hưu Trưng 1, Huyện Đan Phượng, Thành phố Hà Nội, Việt Nam",21.138,105.628
"Hưu Trưng 2, Huyện Đan Phượng, Thành phố Hà Nội, Việt Nam",21.139,105.628
"Hồng Hà, Vân Nam, Phúc Thọ, Thành phố Hà Nội, Việt Nam",21.142,105.625
"Khu công nghiệp Bắc Thăng Long, Cầu vượt Kim Chung, Huyện Đông Anh, Thành phố Hà Nội, 124115, Việt Nam",21.126,105.78
"Khu công nghiệp Bắc Thăng Long, Đường Võ Văn Kiệt, Huyện Đông Anh, Thành phố Hà Nội, 124115, Việt Nam",21.12,105.783
"Km10 - đường 417 (đối diện trường THCS Trung Châu), Đường 417, Vân Nam, Huyện Đan Phượng, Thành phố Hà Nội, Việt Nam",21.137,105.631
"Liên đoàn Lao động thị xã Sơn Tây, 3, Phố Trưng Vương, Thị xã Sơn Tây, Thành phố Hà Nội, Việt Nam",21.141,105.508
"Ngách 3 Ngõ 3 Đường Đông Đội 2, Huyện Đông Anh, Thành phố Hà Nội, Việt Nam",21.141,105.826
"Ngách 4 Ngõ 2 Tiên Kha 5, Huyện Đông Anh, Thành phố Hà Nội, Việt Nam",21.142,105.831
"Ngã 4 cầu vượt QL5 - Võ Nguyên Giáp, Đường Võ Nguyên Giáp, Huyện Đông Anh, Thành phố Hà Nội, 124115, Việt Nam",21.12,105.828
"Ngõ 1 Đường Nam Xóm Cời, Huyện Đông Anh, Thành phố Hà Nội, Việt Nam",21.145,105.83
"Ngõ 14, Thị xã Sơn Tây, Thành phố Hà Nội, Việt Nam",21.148,105.514
"Ngõ 17 Hưu Trưng 1, Huyện Đan Phượng, Thành phố Hà Nội, Việt Nam",21.138,105.629
"Ngõ 18 Chùa Thông, Thị xã Sơn Tây, Thành phố Hà Nội, Việt Nam",21.121,105.505
"Ngõ 19 Nại Sa, Huyện Đan Phượng, Thành phố Hà Nội, Việt Nam",21.122,105.665
"Ngõ 2 Đường Giữa Đội 3-4, Huyện Đông Anh, Thành phố Hà Nội, Việt Nam",21.143,105.826
"Ngõ 25, Thị xã Sơn Tây, Thành phố Hà Nội, Việt Nam",21.148,105.515
"Ngõ 60 Trung Hà Trại, Huyện Đan Phượng, Thành phố Hà Nội, Việt Nam",21.126,105.659
"Ngõ 8 Giữa Làng, Huyện Đông Anh, Thành phố Hà Nội, Việt Nam",21.139,105.84
"Nhà chị Luân, Đường Thượng Cát, Huyện Đan Phượng, Thành phố Hà Nội, Việt Nam",21.124,105.677
"Nhà hàng Đông Thành, Phố Hoàng Diệu, Thị xã Sơn Tây, Thành phố Hà Nội, Việt Nam",21.136,105.506
"Nhà hát Sơn Tây, Phố Phan Chu Trinh, Thị xã Sơn Tây, Thành phố Hà Nội, Việt Nam",21.141,105.502
"Nhà thi đấu Sơn Tây, Phố Phan Chu Trinh, Thị xã Sơn Tây, Thành phố Hà Nội, Việt Nam",21.141,105.503
"Nhà thờ Sơn Tây, Phố Lê Lợi, Thị xã Sơn Tây, Thành phố Hà Nội, Việt Nam",21.143,105.506
"Nội Thất Đồ Gỗ Được Phát, Đường cao tốc Hà Nội - Thái Nguyên, Huyện Đông Anh, Thành phố Hà Nội, 10000, Việt Nam",21.14,105.908
"Phố Lê Lai, Thị xã Sơn Tây, Thành phố Hà Nội, Việt Nam",21.144,105.506
"Phố Lê Lợi, Thị xã Sơn Tây, Thành phố Hà Nội, Việt Nam",21.144,105.505
"Phố Phùng Hưng, Thị xã Sơn Tây, Thành phố Hà Nội, Việt Nam",21.142,105.502
"Phố Trần Hưng Đạo, Thị xã Sơn Tây, Thành phố Hà Nội, Việt Nam",21.142,105.501
"Phố Đốc Ngữ, Thị xã Sơn Tây, Thành phố Hà Nội, Việt Nam",21.143,105.507
"Qua 50m Bia khu di tích lịch sử Miếu Mạch Lũng, Đê tả Sông Hồng, Huyện Đông Anh, Thành phố Hà Nội, Việt Nam",21.123,105.741
"Qua 50m đối diện Nghĩa trang liệt sỹ xã Tráng Việt, Đê tả Sông Hồng, Huyện Mê Linh, Thành phố Hà Nội, Việt Nam",21.142,105.744
"Qua cổng xóm Tân Trại 30m, Đường tỉnh 414C, Ba Vì, Thành phố Hà Nội, Việt Nam",21.141,105.331
"Qua ngã 3 Trung tâm điều dưỡng, Quốc lộ 23, Huyện Đông Anh, Thành phố Hà Nội, Việt Nam",21.121,105.764
"Qua ngã 4 Xuân Phú 50m, Đường tỉnh 417, Xuân Đình, Phúc Thọ, Thành phố Hà Nội, Việt Nam",21.141,105.586
"Quán Lẩu Bò, Ngõ 1, Thị xã Sơn Tây, Thành phố Hà Nội, Việt Nam",21.143,105.532
"Quầy thuốc số 24, Đường tỉnh 414C, Ba Vì, Thành phố Hà Nội, Việt Nam",21.129,105.347
"Sen Phương, Thị xã Sơn Tây, Thành phố Hà Nội, Việt Nam",21.148,105.516
"Sua Ba Vi, La Thành, Tích Giang, Phúc Thọ, Thành phố Hà Nội, Việt Nam",21.128,105.514
"Sân vận động Thể dục thể thao xã Thọ An, Đường Thượng Cát, Huyện Đan Phượng, Thành phố Hà Nội, Việt Nam",21.137,105.644
"Số 25-27 Cao Lỗ, Đường Cao Lỗ, Huyện Đông Anh, Thành phố Hà Nội, Việt Nam",21.138,105.859
"Thư Viện Thị Xã, Phố Lê Lợi, Thị xã Sơn Tây, Thành phố Hà Nội, Việt Nam",21.142,105.506
"Tiên Kha 5, Huyện Đông Anh, Thành phố Hà Nội, Việt Nam",21.142,105.832
"Trung tâm Bồi dưỡng Chính trị thị xã Sơn Tây, Phố Đốc Ngữ, Thị xã Sơn Tây, Thành phố Hà Nội, Việt Nam",21.142,105.508
"Trung tâm thương mại miền núi Tản Lĩnh, Đường tỉnh 414, Ba Vì, Thành phố Hà Nội, Việt Nam",21.124,105.391
"Trước 100m đường vào thôn Đẹp Thôn, Đê tả Sông Hồng, Huyện Đông Anh, Thành phố Hà Nội, Việt Nam",21.129,105.743
"Trước 30m đối diện cửa hàng cơ khi Thường Thành, Đê tả Sông Hồng, Huyện Mê Linh, Thành phố Hà Nội, Việt Nam",21.138,105.744
"Trước 50m ngã ba đường vào xã Hát Môn, Đường 417, Vân Nam, Phúc Thọ, Thành phố Hà Nội, Việt Nam",21.139,105.622
"Trước 50m đối diện trạm biến áp Mạch Lũng, Đê Tả Sông Hồng, Huyện Đông Anh, Thành phố Hà Nội, Việt Nam",21.12,105.744
"Trước 80m Bia khu di tích lịch sử Miếu Mạch Lũng, Đê tả Sông Hồng, Huyện Đông Anh, Thành phố Hà Nội, Việt Nam",21.122,105.74
"Trước UBND xã Ba Trại 40m, Đường tỉnh 414C, Ba Vì, Thành phố Hà Nội, Việt Nam",21.129,105.348
"Trước cổng công ty Minh Cường 50m, Quốc lộ 3, Huyện Đông Anh, Thành phố Hà Nội, 0947733060, Việt Nam",21.127,105.844
"Trước cổng trường mầm non Võng Xuyên, ĐT.418, Võng Xuyên, Phúc Thọ, Thành phố Hà Nội, Việt Nam",21.14,105.554
"Trước cửa hàng cơ khí Thưởng Thành, Đê tả Sông Hồng, Huyện Mê Linh, Thành phố Hà Nội, Việt Nam",21.137,105.744
"Trước ngã tư khu CN Thăng Long 100m, Cầu vượt Kim Chung, Huyện Đông Anh, Thành phố Hà Nội, 124115, Việt Nam",21.126,105.781
"Trường THCS Cổ Loa, residential, Huyện Đông Anh, Thành phố Hà Nội, Việt Nam",21.121,105.869
"Trường THCS Kim Chung, Ngõ 9 Đ.Tây Cao Tốc, Huyện Đông Anh, Thành phố Hà Nội, Việt Nam",21.131,105.778
"Trường THCS Ngô Quyền (Sơn Tây), Phố Trần Hưng Đạo, Thị xã Sơn Tây, Thành phố Hà Nội, Việt Nam",21.141,105.501
"Trường THCS Sen Chiểu, Ngõ 1, Thị xã Sơn Tây, Thành phố Hà Nội, Việt Nam",21.141,105.524
